"","Age_Categories","Sex_of_driver","Educational_level","Vehicle_driver_relation","Driving_experience","Lanes_or_Medians","Types_of_Junction","Road_surface_type","Light_conditions","Weather_conditions","Type_of_collision","Vehicle_movement","Pedestrian_movement","Cause_of_accident","Accident_severity"
"967","18-30","Male","Elementary school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"968","18-30","Male","Elementary school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Other",2
"969","31-50","Male","High school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"970","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No distancing",2
"971","Over 51","Male","Above high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"972","31-50","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"973","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","No priority to vehicle",2
"974","31-50","Male","High school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"975","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to pedestrian",2
"976","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"977","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"978","31-50","Male","Elementary school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Windy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Turnover",2
"979","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Driving to the left",1
"980","Over 51","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Driving carelessly",1
"981","Under 18","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",1
"982","Over 51","Male","High school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Driving carelessly",2
"983","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No priority to pedestrian",2
"984","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Driving carelessly",2
"985","31-50","Male","High school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"986","18-30","Female","Elementary school","Owner","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",1
"987","18-30","Female","Elementary school","Employee","Below 1yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",1
"988","18-30","Female","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the right",1
"989","31-50","Male","Elementary school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"990","18-30","Male","Junior high school","Employee","2-5yr","other","Unknown","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"991","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Unknown","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"992","18-30","Male","Junior high school","Employee","5-10yr","other","Unknown","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Parked","Not a Pedestrian","Changing lane to the right",2
"993","31-50","Unknown","High school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Unknown","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"994","Over 51","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Windy","Vehicle with vehicle collision","Going straight"," or other","Driving carelessly",1
"995","31-50","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Windy","Collision with roadside objects","Unknown","Not a Pedestrian","Overtaking",1
"996","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"997","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"998","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Unknown","Vehicle with vehicle collision","Stopping","Not a Pedestrian","Other",1
"999","Over 51","Male","Junior high school","Owner","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight"," or other","Changing lane to the right",2
"1000","31-50","Male","Elementary school","Employee","1-2yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Rollover","Overtaking","Not a Pedestrian","Changing lane to the right",2
"1001","Over 51","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"1002","Over 51","Male","Elementary school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads with some distress","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Other",2
"1003","18-30","Male","Junior high school","Owner","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Driving to the left",2
"1004","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"1005","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No priority to vehicle",2
"1006","31-50","Unknown","Elementary school","Owner","2-5yr","other","Unknown","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",1
"1007","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Unknown","Gravel roads","Daylight","Normal","Collision with roadside objects","Moving Backward","Not a Pedestrian","Other",1
"1008","Over 51","Male","Junior high school","Employee","Below 1yr","Double carriageway (median)","Unknown","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",1
"1009","18-30","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No priority to pedestrian",2
"1010","31-50","Male","High school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1011","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","Changing lane to the right",2
"1012","18-30","Male","Elementary school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Unknown","Not a Pedestrian","Changing lane to the right",2
"1013","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"1014","18-30","Male","Elementary school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"1015","31-50","Male","Junior high school","Owner","1-2yr","One way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)","Moving Backward",2
"1016","31-50","Male","Above high school","Owner","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Turnover","In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)","Driving at high speed",2
"1017","18-30","Male","Junior high school","Owner","5-10yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"1018","31-50","Male","Above high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","No distancing",2
"1019","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1020","18-30","Male","Junior high school","Employee","1-2yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Reversing","Not a Pedestrian","No priority to vehicle",2
"1021","31-50","Male","Junior high school","Employee","5-10yr","other","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Changing lane to the right",2
"1022","18-30","Unknown","Junior high school","Employee","2-5yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle","Other",1
"1023","18-30","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Unknown","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","No distancing",1
"1024","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Unknown","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"1025","18-30","Male","Junior high school","Employee","2-5yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"1026","18-30","Male","Junior high school","Employee","Above 10yr","other","Crossing","Earth roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","Moving Backward",2
"1027","Over 51","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","No distancing",2
"1028","31-50","Male","Above high school","Owner","1-2yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Moving Backward",2
"1029","18-30","Male","Above high school","Employee","No Licence","Undivided Two way","No junction","Earth roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1030","18-30","Female","Junior high school","Employee","1-2yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Changing lane to the left",2
"1031","18-30","Male","Junior high school","Employee","5-10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","No distancing",2
"1032","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Other",1
"1033","31-50","Male","Junior high school","Employee","Above 10yr","One way","Crossing","Asphalt roads","Daylight","Normal","Collision with animals","Moving Backward","Not a Pedestrian","No distancing",1
"1034","Under 18","Male","Junior high school","Owner","5-10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with animals","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1035","Under 18","Male","Elementary school","Employee","2-5yr","other","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with animals","Going straight","Not a Pedestrian","Moving Backward",2
"1036","31-50","Male","Junior high school","Employee","2-5yr","other","Y Shape","Asphalt roads","Daylight","Unknown","Collision with animals","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1037","Under 18","Male","Junior high school","Employee","Below 1yr","One way","Y Shape","Asphalt roads","Daylight","Unknown","Collision with animals","Going straight","Not a Pedestrian","No distancing",2
"1038","18-30","Male","Junior high school","Employee","2-5yr","One way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with animals","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1039","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with animals","Going straight","Not a Pedestrian","Moving Backward",2
"1040","Over 51","Male","Elementary school","Employee","5-10yr","other","No junction","Asphalt roads","Daylight","Raining","Other","Going straight","Not a Pedestrian","Overtaking",2
"1041","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Raining","Rollover","Going straight","Not a Pedestrian","Changing lane to the left",2
"1042","18-30","Male","Junior high school","Unknown","5-10yr","other","Y Shape","Asphalt roads with some distress","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Changing lane to the right",2
"1043","Over 51","Male","Junior high school","Employee","2-5yr","other","Y Shape","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","Overtaking",2
"1044","18-30","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Overloading",2
"1045","31-50","Male","Above high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Other",2
"1046","31-50","Male","Junior high school","Unknown","5-10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"1047","31-50","Male","Junior high school","Employee","1-2yr","other","Y Shape","Asphalt roads","Daylight","Normal","Fall from vehicles","Going straight","Not a Pedestrian","Changing lane to the right",2
"1048","Under 18","Male","Junior high school","Employee","2-5yr","Two-way (divided with solid lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)","Moving Backward",2
"1049","Under 18","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","Changing lane to the left",2
"1050","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Unknown","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1051","31-50","Male","Junior high school","Employee","2-5yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with animals","Reversing","Not a Pedestrian","No distancing",2
"1052","31-50","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","No priority to vehicle",2
"1053","18-30","Male","High school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Fall from vehicles","Going straight","Not a Pedestrian","No distancing",2
"1054","31-50","Male","Above high school","Employee","1-2yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","No distancing",2
"1055","31-50","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Collision with animals","Unknown","Not a Pedestrian","Moving Backward",2
"1056","Over 51","Male","Junior high school","Unknown","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Changing lane to the right",1
"1057","31-50","Male","High school","Employee","Below 1yr","other","Crossing","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","No priority to pedestrian",1
"1058","18-30","Male","High school","Employee","Below 1yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",1
"1059","31-50","Male","Junior high school","Unknown","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Getting off the vehicle improperly",2
"1060","31-50","Male","High school","Employee","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Overtaking",2
"1061","18-30","Female","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overloading",2
"1062","Under 18","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Gravel roads","Darkness - lights lit","Normal","Collision with roadside objects","Unknown","Not a Pedestrian","Changing lane to the right",2
"1063","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Improper parking",0
"1064","18-30","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",0
"1065","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Changing lane to the left",1
"1066","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Rollover","Turnover","Not a Pedestrian","Changing lane to the right",1
"1067","Over 51","Male","High school","Employee","2-5yr","Undivided Two way","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to pedestrian",2
"1068","31-50","Male","Junior high school","Owner","1-2yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Overspeed",2
"1069","31-50","Unknown","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the left",2
"1070","18-30","Male","Elementary school","Employee","2-5yr","Double carriageway (median)","Crossing","Asphalt roads","Daylight","Normal","Collision with pedestrians","Moving Backward"," or other","No priority to vehicle",2
"1071","18-30","Female","Elementary school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"1072","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",1
"1073","31-50","Unknown","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight"," or other","No priority to pedestrian",2
"1074","31-50","Male","High school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Rollover","Going straight"," or other","No distancing",2
"1075","18-30","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"1076","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1077","31-50","Male","Junior high school","Unknown","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"1078","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"1079","18-30","Male","Junior high school","Employee","1-2yr","Double carriageway (median)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"1080","Under 18","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the left",2
"1081","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"1082","Over 51","Male","Junior high school","Employee","5-10yr","One way","Crossing","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"1083","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"1084","18-30","Female","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"1085","Over 51","Male","Junior high school","Owner","Above 10yr","other","No junction","Unknown","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving at high speed",2
"1086","Over 51","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Gravel roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"1087","Under 18","Male","Elementary school","Other","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1088","Under 18","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Unknown","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"1089","31-50","Male","Junior high school","Unknown","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Getting off the vehicle improperly",1
"1090","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Earth roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1091","18-30","Male","Elementary school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1092","31-50","Unknown","Junior high school","Unknown","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"1093","18-30","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to vehicle",2
"1094","Over 51","Male","Elementary school","Employee","1-2yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Overtaking",2
"1095","31-50","Male","Junior high school","Unknown","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Crossing from driver's nearside","No priority to pedestrian",2
"1096","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Earth roads","Daylight","Normal","Collision with roadside objects","Moving Backward","Not a Pedestrian","No distancing",2
"1097","31-50","Male","High school","Owner","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1098","18-30","Male","Junior high school","Employee","1-2yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight"," or other","Driving carelessly",2
"1099","18-30","Unknown","Junior high school","Employee","1-2yr","Double carriageway (median)","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight"," or other","Changing lane to the right",2
"1100","31-50","Male","Above high school","Owner","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Overtaking",2
"1101","31-50","Male","Junior high school","Unknown","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",1
"1102","31-50","Male","Elementary school","Owner","2-5yr","other","No junction","Asphalt roads","Daylight","Normal","Rollover","Unknown","Not a Pedestrian","Driving to the left",1
"1103","31-50","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving at high speed",2
"1104","18-30","Male","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","Unknown",2
"1105","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1106","31-50","Male","Junior high school","Employee","2-5yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No distancing",2
"1107","31-50","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1108","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight"," or other","No priority to vehicle",1
"1109","18-30","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Changing lane to the left",1
"1110","18-30","Male","Elementary school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
